施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,車椅子使用者対応トイレの設置有無⇒だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
JR 水道橋駅,2022/12/12,1010061,131016,東京都,千代田区,三崎町2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,1F,有,2,1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
三田線 水道橋,2022/1/31,1120004,131059,東京都,文京区,後楽一丁目3番42号先,03-3815-7068,https://www.kotsu.metro.tokyo.jp/subway/stations/suidobashi.html,35.69016583,139.6991511,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,始発〜終車まで,無,無,無,無,有,有,無,
JR 飯田橋駅,2022/12/12,1020072,131016,東京都,千代田区,飯田橋4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
大江戸線 飯田橋,2022/1/31,1120004,131059,東京都,文京区,後楽一丁目9番5号,03-5689-4264,https://www.kotsu.metro.tokyo.jp/subway/stations/iidabashi.html,35.69538306,139.7000186,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,有,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,始発〜終車まで,無,無,無,無,有,有,無,
JR 信濃町駅,2022/12/12,1600016,131041,東京都,新宿区,信濃町,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,1F,有,2,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 千駄ヶ谷駅,2022/12/12,1510051,131130,東京都,渋谷区,千駄ヶ谷1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 代々木駅,2022/12/12,1510053,131130,東京都,渋谷区,代々木1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.683033,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
大江戸線 代々木,2022/1/31,1510053,131130,東京都,渋谷区,代々木一丁目35番5号,03-5350-4773,https://www.kotsu.metro.tokyo.jp/subway/stations/yoyogi.html,35.71191806,139.7982692,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,始発〜終車まで,無,無,無,無,有,有,無,
JR 大久保駅,2022/12/12,1690073,131041,東京都,新宿区,百人町1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 東中野駅,2022/12/12,1640003,131148,東京都,中野区,東中野4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
大江戸線 東中野,2022/1/31,1640003,131148,東京都,中野区,東中野三丁目8番16号,03-3361-9085,https://www.kotsu.metro.tokyo.jp/subway/stations/higashi-nakano.html,35.69869,139.774198,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,始発〜終車まで,無,無,無,無,有,有,無,
JR 中野駅,2022/12/12,1640001,131148,東京都,中野区,中野5丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,有,
JR 高円寺駅,2022/12/12,1660003,131156,東京都,杉並区,高円寺南4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 阿佐ケ谷駅,2022/12/12,1660004,131156,東京都,杉並区,阿佐谷南3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,"1F,M2F",有,2,"1F,M2F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 荻窪駅,2022/12/12,1670043,131156,東京都,杉並区,上荻1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 西荻窪駅,2022/12/12,1670043,131156,東京都,杉並区,上荻1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 御徒町駅,2022/12/12,1100005,131067,東京都,台東区,上野5丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,1F,有,2,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 鶯谷駅,2022/12/12,1100003,131067,東京都,台東区,根岸1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 日暮里駅,2022/12/12,1160013,131181,東京都,荒川区,西日暮里2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 西日暮里駅,2022/12/12,1160013,131181,東京都,荒川区,西日暮里5丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 田端駅,2022/12/12,1140013,131172,東京都,北区,東田端1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 上中里駅,2022/12/12,1140016,131172,東京都,北区,上中里1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 王子駅,2022/12/12,1140002,131172,東京都,北区,王子1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,有,
JR 東十条駅,2022/12/12,1140001,131172,東京都,北区,東十条3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 赤羽駅,2022/12/12,1150045,131172,東京都,北区,赤羽1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 尾久駅,2022/12/12,1140011,131172,東京都,北区,昭和町1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 北赤羽駅,2022/12/12,1150052,131172,東京都,北区,赤羽北2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 浮間舟渡駅,2022/12/12,1150051,131172,東京都,北区,浮間4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 三河島駅,2022/12/12,1160013,131181,東京都,荒川区,西日暮里1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 南千住駅,2022/12/12,1160003,131181,東京都,荒川区,南千住4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 北千住駅,2022/12/12,1200026,131211,東京都,足立区,千住旭町,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 亀有駅,2022/12/12,1250061,131229,東京都,葛飾区,亀有3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 金町駅,2022/12/12,1250042,131229,東京都,葛飾区,金町6丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 新日本橋駅,2022/12/12,1030022,131024,東京都,中央区,日本橋室町4丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 馬喰町駅,2022/12/12,1030002,131024,東京都,中央区,日本橋馬喰町1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 八丁堀駅,2022/12/12,1040032,131024,東京都,中央区,八丁堀3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 越中島駅,2022/12/12,1350044,131083,東京都,江東区,越中島2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 駒込駅,2022/12/12,1700003,131164,東京都,豊島区,駒込2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 巣鴨駅,2022/12/12,1700002,131164,東京都,豊島区,巣鴨1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
三田線 巣鴨,2022/1/31,1700002,131164,東京都,豊島区,巣鴨三丁目27番7号,03-3917-0217,https://www.kotsu.metro.tokyo.jp/subway/stations/sugamo.html,35.65547833,139.7567222,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,始発〜終車まで,無,無,無,無,有,有,無,
JR 大塚駅,2022/12/12,1700005,131164,東京都,豊島区,南大塚3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 目白駅,2022/12/12,1710031,131164,東京都,豊島区,目白3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 高田馬場駅,2022/12/12,1690075,131041,東京都,新宿区,高田馬場1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
